"Interferer Name","Interferer ID"
"Satellite/LEOSAT1/Transmitter/LEO_Transmitter",0
"Satellite/LEOSAT2/Transmitter/LEO_Transmitter",1
"Satellite/LEOSAT3/Transmitter/LEO_Transmitter",2
"Satellite/LEOSAT4/Transmitter/LEO_Transmitter",3
"Satellite/LEOSAT5/Transmitter/LEO_Transmitter",4
"Satellite/LEOSAT6/Transmitter/LEO_Transmitter",5

"Time (UTCG)","Link To ID","IF Source ID","Interferer Name","Xmtr Power (dBW)","Xmtr Gain (dB)","EIRP (dBW)","Xmtr Azimuth - Phi (deg)","Xmtr Elevation - Theta (deg)","Range (km)","Rcvr Azimuth - Phi (deg)","Rcvr Elevation - Theta (deg)","Rcvd. Frequency (GHz)","Power At Rcvr Input (dBW)","Rcvr Gain (dB)","Rcvr NormGain","Rcvr Loss (dB)","Bandwidth Overlap (units)","Pwr Flux Density (dBW/m^2)","C/I (dB)","Pol. Rel. Angle (deg)","Polarization Effic (dB)","Free Space Loss (dB)","Atmos Loss (dB)","Rain Loss (dB)"
10 Aug 2024 04:07:00.000,0,5,"Satellite/LEOSAT6/Transmitter/LEO_Transmitter",15.000,0.3993,13.448,97.946,67.644,2143.495395,0.000,0.000,15.000,-169.144,0.0000,1.000000,182.5921,1.0000,-123.193503,16.4094,0.000,0.0000,182.5921,0.0000,0.0000
10 Aug 2024 04:08:00.000,0,5,"Satellite/LEOSAT6/Transmitter/LEO_Transmitter",15.000,0.3784,13.427,108.668,67.775,2217.277601,0.000,0.000,15.000,-169.460,0.0000,1.000000,182.8860,0.9999,-123.499985,16.7246,0.000,0.0000,182.8860,0.0000,0.0000
10 Aug 2024 04:09:00.000,0,5,"Satellite/LEOSAT6/Transmitter/LEO_Transmitter",15.000,0.3511,13.400,118.327,67.945,2360.410562,0.000,0.000,15.000,-170.030,0.0000,1.000000,183.4294,0.9998,-124.063381,17.2955,0.000,0.0000,183.4294,0.0000,0.0000
10 Aug 2024 04:10:00.000,0,5,"Satellite/LEOSAT6/Transmitter/LEO_Transmitter",15.000,0.3374,13.386,126.593,68.031,2560.930493,0.000,0.000,15.000,-170.753,0.0000,1.000000,184.1376,0.9998,-124.779511,18.0176,0.000,0.0000,184.1376,0.0000,0.0000
10 Aug 2024 04:27:59.000,0,1,"Satellite/LEOSAT2/Transmitter/LEO_Transmitter",15.000,0.3373,13.386,36.196,68.031,2570.601203,0.000,0.000,15.000,-170.786,0.0000,1.000000,184.1703,0.9997,-124.802044,18.0508,0.000,0.0000,184.1703,0.0000,0.0000
10 Aug 2024 04:28:59.000,0,1,"Satellite/LEOSAT2/Transmitter/LEO_Transmitter",15.000,0.3663,13.415,42.753,67.850,2270.647351,0.000,0.000,15.000,-169.679,0.0000,1.000000,183.0926,0.9997,-123.699027,16.9440,0.000,0.0000,183.0926,0.0000,0.0000
10 Aug 2024 04:29:59.000,0,1,"Satellite/LEOSAT2/Transmitter/LEO_Transmitter",15.000,0.4514,13.500,51.314,67.320,2009.719151,0.000,0.000,15.000,-168.533,0.0000,1.000000,182.0323,0.9998,-122.558967,15.7983,0.000,0.0000,182.0323,0.0000,0.0000
10 Aug 2024 04:30:59.000,0,1,"Satellite/LEOSAT2/Transmitter/LEO_Transmitter",15.000,0.5748,13.623,62.316,66.560,1805.910221,0.000,0.000,15.000,-167.481,0.0000,1.000000,181.1035,0.9998,-121.514542,14.7459,0.000,0.0000,181.1035,0.0000,0.0000
10 Aug 2024 04:31:59.000,0,1,"Satellite/LEOSAT2/Transmitter/LEO_Transmitter",15.000,0.6850,13.734,75.735,65.888,1680.892675,0.000,0.000,15.000,-166.747,0.0000,1.000000,180.4804,0.9999,-120.791382,14.0122,0.000,0.0000,180.4804,0.0000,0.0000
10 Aug 2024 04:32:59.000,0,1,"Satellite/LEOSAT2/Transmitter/LEO_Transmitter",15.000,0.7140,13.763,90.554,65.711,1652.991284,0.000,0.000,15.000,-166.573,0.0000,1.000000,180.3350,1.0000,-120.623149,13.8375,0.000,0.0000,180.3350,0.0000,0.0000
